template_id,segment_id,segment_name,lifecycle_stage,goal,theme,variant,message_title_en,message_title_hi,message_body_en,message_body_hi,cta_text_en,cta_text_hi,tone,hook,feature_reference
TPL_0040,0,High Risk Inactives,paid,deepening,ownership,5,Achieved,Safalta,Celebrate progress with Notifications,Notifications ke saath apni tarakki manayein,See, Dekhein,celebratory,ownership,Notifications
TPL_0041,0,High Risk Inactives,paid,expansion,accomplishment,1,Unlock Pro,Pro Kholein,Complete Core Feature to earn badges!,"Core Feature poora karein, badges jeetein!",Start,Shuru,encouraging,accomplishment,Core Feature
TPL_0042,0,High Risk Inactives,paid,expansion,accomplishment,2,Climb Leaderboard,Leaderboard Mein Chadiye,"Use Ai Tutor to improve skills, reach top!","Ai Tutor ka upyog karein, top par pahunchein!",Learn,Seekhein,aspirational,accomplishment,"Ai Tutor, Leaderboard"
TPL_0043,0,High Risk Inactives,paid,expansion,accomplishment,3,Dashboard Alert,Dashboard Alert,Check User Dashboard for new updates!,Naye updates ke liye User Dashboard dekhein!,Check,Dekhein,urgent,accomplishment,User Dashboard
TPL_0044,0,High Risk Inactives,paid,expansion,accomplishment,4,Achievement Unlocked,Upalabdhi Prapt,"You've completed a tough level, congratulations!","Aapne ek kathin level poora kiya, badhai!",Next,Aage,celebratory,accomplishment,Core Feature
TPL_0045,0,High Risk Inactives,paid,expansion,accomplishment,5,Get Back On,Wapas Aaiye,Receive Notifications to stay on track!,"Apne track par bane rahein, Notifications paayein!",Rejoin,Wapas Aaiye,friendly,accomplishment,Notifications
TPL_0046,0,High Risk Inactives,paid,expansion,ownership,1,Claim Rewards,Inaam Lo,"Complete Core Feature to earn badges, own your progress!","Core Feature poora karo, badge jeeto, apni tarakki ka malik bano!",Claim,Lo,celebratory,ownership,"Core Feature, User Dashboard"
TPL_0047,0,High Risk Inactives,paid,expansion,ownership,2,Unlock Ai,Ai Ko Unlock Kro,"Reach top 10 on Leaderboard to unlock Ai Tutor, own your learning!","Leaderboard par top 10 me pahunchne par Ai Tutor unlock karo, apni seekh ka malik bano!",Learn,Seekho,aspirational,ownership,"Leaderboard, Ai Tutor"
TPL_0048,0,High Risk Inactives,paid,expansion,ownership,3,Check Progress,Aage Badho,"View your progress on User Dashboard, own your goals!","User Dashboard par apni tarakki dekho, apne lakshyon ka malik bano!",View,Dekho,encouraging,ownership,User Dashboard
TPL_0049,0,High Risk Inactives,paid,expansion,ownership,4,Limited Time,Samay Simit,"Complete Core Feature in 24hrs to earn bonus, own the challenge!","24 ghante me Core Feature poora karo, bonus jeeto, chunauti ka malik bano!",Start,Shuru,urgent,ownership,Core Feature
TPL_0050,0,High Risk Inactives,paid,expansion,ownership,5,New Badge,Naya Badge,"Earn new badges on Core Feature, showcase on Leaderboard, own your achievements!","Core Feature par naye badge jeeto, Leaderboard par dikhao, apni uplabdhiyon ka malik bano!",Earn,Jeeto,friendly,ownership,"Core Feature, Leaderboard"
TPL_0051,0,High Risk Inactives,paid,retention,accomplishment,1,Get Back,Wapas Aao,Complete Core Feature to earn badges! 🏆,"Core Feature poora karo, badges jeeto!",Start,Shuru,encouraging,accomplishment,Core Feature
TPL_0052,0,High Risk Inactives,paid,retention,accomplishment,2,Missed Out,Chuka Diya,Check User Dashboard for new updates!,Naye updates ke liye User Dashboard dekho!,Check,Dekho,friendly,accomplishment,User Dashboard
TPL_0053,0,High Risk Inactives,paid,retention,accomplishment,3,New Alert,Naya Alert,Ai Tutor has new lessons for you! 📚,Ai Tutor ke paas aapke liye naye lessons hain!,Learn,Seekho,aspirational,accomplishment,Ai Tutor
TPL_0054,0,High Risk Inactives,paid,retention,accomplishment,4,Time's Up,Samay Khatam,Climb Leaderboard before time runs out! ⏰,Samay khatam hone se pehle Leaderboard par chadho!,Climb,Chadho,urgent,accomplishment,Leaderboard
TPL_0055,0,High Risk Inactives,paid,retention,accomplishment,5,Achieved,Haasil Kiya,You've earned a new badge via Notifications! 🎉,Aapne Notifications ke zariye naya badge haasil kiya!,View,Dekho,celebratory,accomplishment,Notifications
TPL_0056,0,High Risk Inactives,paid,retention,ownership,1,Claim Now,Abhi Dawaav karein,Your Core Feature is waiting! 📈,Aapka Core Feature taiyaar hai!,Claim,Dawaav karein,encouraging,ownership,Core Feature
TPL_0057,0,High Risk Inactives,paid,retention,ownership,2,Your Space,Aapka Dashboard,Check your progress on User Dashboard,User Dashboard par aapki pragati dekhein,View, Dekhein,friendly,ownership,User Dashboard
TPL_0058,0,High Risk Inactives,paid,retention,ownership,3,New Alert,Naya Sandesh,Customize your Notifications now!,Abhi apne Notifications ko customize karein!,Customize,Badlaav karein,urgent,ownership,Notifications
TPL_0059,0,High Risk Inactives,paid,retention,ownership,4,Tutor Alert,Ai Tutor ki Chetaavni,Ai Tutor is waiting to guide you,Ai Tutor aapki madad ke liye taiyaar hai,Learn,Seekhein,aspirational,ownership,Ai Tutor
TPL_0060,0,High Risk Inactives,paid,retention,ownership,5,Leader,Netaa,Climb the Leaderboard with Core Feature,Core Feature ke saath Leaderboard par chadhein,Climb,Chadhein,celebratory,ownership,"Leaderboard, Core Feature"
TPL_0061,0,High Risk Inactives,trial,activation,unpredictability,1,Try Now,Abhi Try Kare,Unlock Core Feature with a surprise bonus! 🚀,Core Feature ko unlock karein aur surprise bonus paayein!,Try,Shuru Kare,encouraging,unpredictability,Core Feature
TPL_0062,0,High Risk Inactives,trial,activation,unpredictability,2,New Alert,Naya Alert,Ai Tutor has a secret tip for you! Check Notifications now,Ai Tutor ne aapke liye ek secret tip rakha hai! Abhi Notifications check karein,Check,Check Kare,friendly,unpredictability,"Ai Tutor, Notifications"
TPL_0063,0,High Risk Inactives,trial,activation,unpredictability,3,Surprise,Surprise,You're close to the top of the Leaderboard! Keep going,Aap Leaderboard ke top ke kareeb hain! Aage badhte rahein,Play,Khelne,aspirational,unpredictability,Leaderboard
TPL_0064,0,High Risk Inactives,trial,activation,unpredictability,4,Last Chance,Antim Mauka,Trial ending soon! Use Core Feature now or miss out,Trial jaldi khatam hone wala hai! Abhi Core Feature use karein warna miss ho jayega,Use,Use Kare,urgent,unpredictability,Core Feature
TPL_0065,0,High Risk Inactives,trial,activation,unpredictability,5,You Won,Aap Jeet Gaye,You've unlocked a new level on the User Dashboard! 🎉,Aapne User Dashboard par naya level unlock kiya hai! 🎉,See, Dekhe,celebratory,unpredictability,User Dashboard
TPL_0066,0,High Risk Inactives,trial,activation,epic_meaning,1,Unlock Potential,Sambhavnayein Unlock Karein,Join 1000s of users achieving goals with our Core Feature,Hazaaron users ke saath Core Feature se apne goals achieve karein,Start Now,Abhi Shuru Karein,encouraging,epic_meaning,Core Feature
TPL_0067,0,High Risk Inactives,trial,activation,epic_meaning,2,Be a Leader,Leader Banen,Climb the Leaderboard with Ai Tutor's expert guidance,Ai Tutor ki madad se Leaderboard par chadhein,Get Started,Shuru Karein,aspirational,epic_meaning,"Ai Tutor, Leaderboard"
TPL_0068,0,High Risk Inactives,trial,activation,epic_meaning,3,Your Journey,Aapka Safar,Track progress on your User Dashboard and unlock new possibilities,User Dashboard par apni progress track karein aur naye avsar unlock karein,Explore,Anweshan Karein,friendly,epic_meaning,User Dashboard
TPL_0069,0,High Risk Inactives,trial,activation,epic_meaning,4,Time's Running Out,Samay Samapt Ho Raha Hai,Activate now and don't miss out on Core Feature benefits,Abhi activate karein aur Core Feature ke fayde ko na gawayein,Activate,Sakriya Karein,urgent,epic_meaning,Core Feature
TPL_0070,0,High Risk Inactives,trial,activation,epic_meaning,5,You're a Champion,Aap Ek Champion Hain,Celebrate small wins with Notifications and stay motivated,Notifications ke saath chhote wins ka jashn manayein aur prerna paayein,Celebrate,Jashn Manayein,celebratory,epic_meaning,Notifications
TPL_0071,0,High Risk Inactives,trial,conversion_readiness,unpredictability,1,New Challenge,Naya Challenge,Complete Core Feature to win rewards! 🚀,"Core Feature poora karo, rewards jeeto!",Play,Khelo,encouraging,unpredictability,Core Feature
TPL_0072,0,High Risk Inactives,trial,conversion_readiness,unpredictability,2,Surprise Alert,Surprise Alert,Check User Dashboard for a surprise! 🎉,User Dashboard par surprise dekho!,Check,Dekho,friendly,unpredictability,User Dashboard
TPL_0073,0,High Risk Inactives,trial,conversion_readiness,unpredictability,3,Leaderboard Shake,Leaderboard Hila,Climb Leaderboard with Ai Tutor's help!,Ai Tutor ki madad se Leaderboard par chadho!,Climb,Chadho,aspirational,unpredictability,"Ai Tutor, Leaderboard"
TPL_0074,0,High Risk Inactives,trial,conversion_readiness,unpredictability,4,Time's Running,Samay Beet Raha,Complete trial before time runs out! ⏰,"Trial poora karo, samay kehne se pehle!",Act,Karo,urgent,unpredictability,trial
TPL_0075,0,High Risk Inactives,trial,conversion_readiness,unpredictability,5,Milestone Unlocked,Milestone Khula,You've reached a milestone! Check Notifications for rewards!,Aapne milestone haasil kiya! Notifications par rewards dekho!,Claim,Haasil Karo,celebratory,unpredictability,Notifications
TPL_0076,0,High Risk Inactives,trial,conversion_readiness,epic_meaning,1,Unlock Potential,Sambhavnayein Unlock Karein,Discover your strengths with Ai Tutor and rise on the Leaderboard,Ai Tutor ke saath apni takat payi jaayein aur Leaderboard par chadhein,Get Started,Shuru Karein,encouraging,epic_meaning,"Ai Tutor, Leaderboard"
TPL_0077,0,High Risk Inactives,trial,conversion_readiness,epic_meaning,2,Be a Champion,Champion Banayein,Use Core Feature to achieve greatness and track progress on User Dashboard,Core Feature ka upyog karein aur User Dashboard par pragati track karein,Try Now,Abhi Try Karein,aspirational,epic_meaning,"Core Feature, User Dashboard"
TPL_0078,0,High Risk Inactives,trial,conversion_readiness,epic_meaning,3,Time to Shine,Chamkein Ka Samay,Get notified about new opportunities with Notifications and stay ahead,Notifications ke saath naye avsar ke baare mein jaanein aur aage rahein,Explore,Anwesha Karein,celebratory,epic_meaning,Notifications
TPL_0079,0,High Risk Inactives,trial,conversion_readiness,epic_meaning,4,Don't Miss Out,Chhoden Na,Stay on track with Ai Tutor and don't fall behind on the Leaderboard,Ai Tutor ke saath track par rahein aur Leaderboard par peeche na rahein,Catch Up,Peechhe Na Rahein,urgent,epic_meaning,"Ai Tutor, Leaderboard"
TPL_0080,0,High Risk Inactives,trial,conversion_readiness,epic_meaning,5,You Got This,Aap Kar Sakte Hain,Believe in yourself and use Core Feature to achieve success,Apne aap par vishwas karein aur Core Feature ka upyog karein safalta paane ke liye,Go Ahead,Aage Badhein,friendly,epic_meaning,Core Feature
TPL_0081,0,High Risk Inactives,trial,feature_discovery,unpredictability,1,New!,Naya!,"Discover Core Feature, unlock surprises! 🎉","Core Feature ko khoje, anokhe inaam jeete!",Try,Karo,encouraging,unpredictability,Core Feature
TPL_0082,0,High Risk Inactives,trial,feature_discovery,unpredictability,2,Surprise!,Chaukana!,"Ai Tutor has a secret tip, check User Dashboard now!","Ai Tutor ka ek raaz hai, User Dashboard abhi dekhe!",Go,Jaao,urgent,unpredictability,"Ai Tutor, User Dashboard"
TPL_0083,0,High Risk Inactives,trial,feature_discovery,unpredictability,3,Leader!,Neta!,"Climb Leaderboard, get unexpected rewards!","Leaderboard par chadho, anokhe puraskar paao!",Play,Khelo,aspirational,unpredictability,Leaderboard
TPL_0084,0,High Risk Inactives,trial,feature_discovery,unpredictability,4,Uncover!,Ujagar!,"Find hidden gems in Notifications, don't miss out!","Notifications mein chhipe huye moti khoje, mat chuko!",See,Dekho,friendly,unpredictability,Notifications
TPL_0085,0,High Risk Inactives,trial,feature_discovery,unpredictability,5,Win!,Jeeto!,"Complete trial, unlock unpredictable surprises!","Trial pura karo, anokhe inaam khole!",Finish,Pura karo,celebratory,unpredictability,trial
TPL_0086,0,High Risk Inactives,trial,feature_discovery,epic_meaning,1,Unlock,Khulasa,Discover Core Feature to boost progress 🚀,Core Feature se apna progress badhayein,Try,Try,encouraging,epic_meaning,Core Feature
TPL_0087,0,High Risk Inactives,trial,feature_discovery,epic_meaning,2,Get Ahead,Aage Badho,Explore User Dashboard for insights,User Dashboard se jaaniye apne baare mein,View, Dekho,friendly,epic_meaning,User Dashboard
TPL_0088,0,High Risk Inactives,trial,feature_discovery,epic_meaning,3,Stay Updated,Update Rahiye,Customize Notifications for your needs,Apni zaroorat ke hisaab se Notifications set kijiye,Set,Set,aspirational,epic_meaning,Notifications
TPL_0089,0,High Risk Inactives,trial,feature_discovery,epic_meaning,4,Last Chance,Antim Mauka,Use Ai Tutor before trial ends ⏰,Trial khatam hone se pehle Ai Tutor ka upyog kijiye,Now,Ab,urgent,epic_meaning,Ai Tutor
TPL_0090,0,High Risk Inactives,trial,feature_discovery,epic_meaning,5,Climb Leaderboard,Leaderboard Par Chadho,Engage daily to top the Leaderboard 🏆,Rozana engage ho kar Leaderboard par chadhne ka mauka paayein,Play,Khelo,celebratory,epic_meaning,Leaderboard
TPL_0091,0,High Risk Inactives,trial,habit_formation,unpredictability,1,New Day,Naya Din,Will you master Core Feature today? 🤔,Kya aap aaj Core Feature mein maharat hasil karenge? 🤔,Try,Karo,encouraging,unpredictability,Core Feature
TPL_0092,0,High Risk Inactives,trial,habit_formation,unpredictability,2,Surprise,Chhapaak,Ai Tutor has a new lesson for you!,Ai Tutor ke paas aapke liye naya path hai!,Learn,Seekho,friendly,unpredictability,Ai Tutor
TPL_0093,0,High Risk Inactives,trial,habit_formation,unpredictability,3,Leader Alert,Leader Ki Chetavani,Someone's about to overtake you on the Leaderboard!,Koi aapko Leaderboard par paar karne wala hai!,Play,Khelo,urgent,unpredictability,Leaderboard
TPL_0094,0,High Risk Inactives,trial,habit_formation,unpredictability,4,Dashboard Update,Dashboard Update,New insights on your User Dashboard!,Aapke User Dashboard par naye nazarie!,View, Dekho,aspirational,unpredictability,User Dashboard
TPL_0095,0,High Risk Inactives,trial,habit_formation,unpredictability,5,Streak Alert,Streak Ki Chetavani,Don't break your streak! Open Notifications now!,Aapna streak tootne na do! Abhi Notifications kholo!,Open,Kholo,celebratory,unpredictability,Notifications
TPL_0096,0,High Risk Inactives,trial,habit_formation,epic_meaning,1,Unlock Potential,Sambhavnayein Unlock Karein,Start with Core Feature to achieve greatness,Mahaanta haasil karne ke liye Core Feature se shuru karein,Try Now,Abhi Try Karein,encouraging,epic_meaning,Core Feature
TPL_0097,0,High Risk Inactives,trial,habit_formation,epic_meaning,2,Be a Leader,Leader Banen,Climb the Leaderboard with Ai Tutor's help,Ai Tutor ki madad se Leaderboard par chadhein,Learn,Seekhein,aspirational,epic_meaning,"Ai Tutor, Leaderboard"
TPL_0098,0,High Risk Inactives,trial,habit_formation,epic_meaning,3,Time to Shine,Chamkein Ka Samay,Get notified about progress on User Dashboard,User Dashboard par apni pragati ke baare mein jaanein,View, Dekhein,celebratory,epic_meaning,"User Dashboard, Notifications"
TPL_0099,0,High Risk Inactives,trial,habit_formation,epic_meaning,4,Don't Miss Out,Chhoden Na,Stay on track with daily Notifications,Rozana Notifications ke saath apni jagah banayein,Continue,Jaari Rakhein,urgent,epic_meaning,Notifications
TPL_0100,0,High Risk Inactives,trial,habit_formation,epic_meaning,5,You Got This,Aap Kar Sakte Hain,Core Feature will guide you to success,Core Feature aapko safalta ki aur le jaayega,Start,Shuru Karein,friendly,epic_meaning,Core Feature
TPL_0101,1,Social Gamifiers,churned,re_engagement,loss_avoidance,1,Don't Fall Behind,Peeche Mat Chhudo,You're missing out on daily rewards! Login now,Aap daily rewards se vanchit ho rahe hain! Abhi login karo,Login,Login,urgent,loss_avoidance,Core Feature
TPL_0102,1,Social Gamifiers,churned,re_engagement,loss_avoidance,2,Stay on Top,Sabse Aage Rahen,Your leaderboard position is slipping! Play now,Aapka leaderboard sthan gir raha hai! Abhi khelo,Play,Khelo,encouraging,loss_avoidance,Leaderboard
TPL_0103,1,Social Gamifiers,churned,re_engagement,loss_avoidance,3,Don't Lose Progress,Aapna Pragati Na Khona,Your progress will expire soon! Save it now,Aapka pragati jald hi samapt ho jayega! Use abhi bachayein,Save,Bachayein,urgent,loss_avoidance,User Dashboard
TPL_0104,1,Social Gamifiers,churned,re_engagement,loss_avoidance,4,Avoid Missing Out,Peeche Na Rahen,New AI Tutor lessons are live! Don't miss out,Naye AI Tutor path aur live hain! Inhe na chhoden,Learn,Seekhen,encouraging,loss_avoidance,Ai Tutor
TPL_0105,1,Social Gamifiers,churned,re_engagement,loss_avoidance,5,Get Back on Track,Phir Se Track Par,We've missed you! Get back to your daily goals,Humne aapko miss kiya! Apne daily goals par wapas aa jayein,Start,Shuru,friendly,loss_avoidance,Notifications
TPL_0106,1,Social Gamifiers,churned,re_engagement,social_influence,1,Back to Top,Phir Se Shuru,Your friends are ahead of you on the Leaderboard!,Aapke dost Leaderboard par aapke aage hain!,Play,Khelo,encouraging,social_influence,Leaderboard
TPL_0107,1,Social Gamifiers,churned,re_engagement,social_influence,2,New Challenge,Naya Challenge,Join the Core Feature challenge with your friends!,Aapke doston ke saath Core Feature challenge mein shamil ho!,Join,Shamil Ho,friendly,social_influence,Core Feature
TPL_0108,1,Social Gamifiers,churned,re_engagement,social_influence,3,Climb Back,Phir Se Chadhna,Get back on track with Ai Tutor's help!,Ai Tutor ki madad se phir se track par aayein!,Learn,Seekho,aspirational,social_influence,Ai Tutor
TPL_0109,1,Social Gamifiers,churned,re_engagement,social_influence,4,Last Chance,Antim Mauka,Check your User Dashboard for urgent updates!,Aapka User Dashboard dekhein aur atyavashyak updates jaanein!,Check,Dekho,urgent,social_influence,User Dashboard
TPL_0110,1,Social Gamifiers,churned,re_engagement,social_influence,5,Welcome Back,Swagat Hai,You're back! Check Notifications for new updates!,Aap wapas aa gaye! Naye updates ke liye Notifications dekhein!,See,Dekhein,celebratory,social_influence,Notifications
